Generation,ID,Fitness
1,245,81
2,1,90
2,130,90
2,240,90
2,556,81
2,507,90
2,478,99
2,564,90
2,569,81
2,446,90
2,334,90
2,425,81
2,506,81
2,27,81
2,438,81
2,387,81
2,409,90
2,331,90
2,331,90
2,279,90
2,564,90
2,81,81
2,507,90
2,310,81
2,301,81
2,407,81
2,520,81
2,284,90
2,332,81
2,389,81
2,276,81
2,534,81
2,469,81
2,387,81
2,273,81
2,57,81
2,586,81
2,493,90
2,452,90
2,519,90
2,185,90
2,225,81
2,392,81
2,355,81
2,470,81
2,286,81
2,434,81
2,551,81
2,176,81
2,131,81
2,444,81
2,165,81
2,460,81
2,523,81
2,176,81
2,94,81
2,331,90
2,504,90
2,494,81
2,510,90
2,550,90
2,344,81
2,584,81
2,531,81
2,598,81
2,284,90
2,188,81
2,565,90
2,396,90
2,456,81
2,414,90
2,19,90
2,80,81
2,484,90
2,552,81
2,523,81
2,437,81
2,596,90
2,464,81
2,458,81
2,505,81
2,577,81
2,484,90
2,94,81
2,571,81
2,331,90
2,362,81
2,107,81
2,355,81
2,334,90
2,143,81
2,446,90
2,496,90
2,331,90
2,300,81
2,597,81
2,284,90
2,546,81
2,414,90
2,398,90
2,299,81
2,405,90
2,519,90
2,529,81
2,527,81
2,284,90
2,581,81
2,581,81
2,462,81
2,425,81
2,82,81
2,332,81
2,331,90
2,592,81
2,510,90
2,551,81
2,566,81
2,97,81
2,534,81
2,341,81
2,56,81
2,130,90
2,492,81
2,496,90
2,556,81
2,276,81
2,596,90
2,483,99
2,503,81
2,596,90
2,597,81
2,491,81
2,332,81
2,419,81
2,522,81
2,1,90
2,443,81
2,489,81
2,598,81
2,286,81
2,512,81
2,344,81
2,504,90
2,436,81
2,323,90
2,130,90
2,77,81
2,512,81
2,331,90
2,347,81
2,331,90
2,510,90
2,77,81
2,413,81
2,215,90
2,536,90
2,481,81
2,549,81
2,500,81
2,19,90
2,524,81
2,570,90
2,242,81
2,507,90
2,286,81
2,550,90
2,125,81
2,565,90
2,306,90
2,453,81
2,581,81
2,150,81
2,243,90
2,244,81
2,234,81
2,549,81
2,413,81
2,215,90
2,550,90
2,431,81
2,300,81
2,222,81
2,588,81
2,493,90
2,284,90
2,269,81
2,489,81
2,421,81
2,595,81
2,97,81
2,539,81
2,221,81
2,574,90
2,585,81
2,340,81
2,547,81
2,572,81
2,286,81
2,450,81
2,435,81
2,449,81
3,478,99
3,724,81
3,645,81
3,581,81
3,617,81
3,507,90
3,607,81
3,577,81
3,726,81
3,550,90
3,739,90
3,234,81
3,215,90
3,188,81
3,732,81
3,709,90
3,650,81
3,596,90
3,491,81
3,700,90
3,649,81
3,770,81
3,670,81
3,730,99
3,556,81
3,310,81
3,749,90
3,743,99
3,566,81
3,622,90
3,396,90
3,637,81
3,414,90
3,331,90
3,686,81
3,489,81
3,697,90
3,332,81
3,527,81
3,655,90
3,446,90
3,452,90
3,696,81
3,97,81
3,409,81
3,496,90
3,510,90
3,674,90
3,640,90
3,425,81
3,739,90
3,496,90
3,234,81
3,695,81
3,719,81
3,773,81
3,641,90
3,286,81
3,507,90
3,421,81
3,469,81
3,452,90
3,690,81
3,130,90
3,396,90
3,648,90
3,331,90
3,536,90
3,611,90
3,396,90
3,679,81
3,741,81
3,613,90
3,609,81
3,669,81
3,478,99
3,652,81
3,1,90
3,749,90
3,755,81
3,596,90
3,405,90
3,425,81
3,779,90
3,331,90
3,797,81
3,431,81
3,628,81
3,536,90
3,510,90
3,332,81
3,565,90
3,765,81
3,744,90
3,732,81
3,493,90
3,581,81
3,598,81
3,284,90
3,581,81
3,301,81
3,130,90
3,743,99
3,684,81
3,781,90
3,688,90
3,627,90
3,19,90
3,19,90
